,nome_pokemon,num_pokedex,tipos,HP,atk,Def,sp_atk,sp_def,Speed,total
860,Grimmsnarl,#0861,"Dark, Fairy",95,120,65,95,75,60,510
861,Obstagoon,#0862,"Dark, Normal",93,90,101,60,81,95,520
862,Perrserker,#0863,Steel,70,110,100,50,60,50,440
863,Cursola,#0864,Ghost,60,95,50,145,130,30,510
864,Sirfetch'd,#0865,Fighting,62,135,95,68,82,65,507
865,Mr. Rime,#0866,"Ice, Psychic",80,85,75,110,100,70,520
866,Runerigus,#0867,"Ground, Ghost",58,95,145,50,105,30,483
867,Milcery,#0868,Fairy,45,40,40,50,61,34,270
868,Alcremie,#0869,Fairy,65,60,75,110,121,64,495
869,Falinks,#0870,Fighting,65,100,100,70,60,75,470
870,Pincurchin,#0871,Electric,48,101,95,91,85,15,435
871,Snom,#0872,"Ice, Bug",30,25,35,45,30,20,185
872,Frosmoth,#0873,"Ice, Bug",70,65,60,125,90,65,475
873,Stonjourner,#0874,Rock,100,125,135,20,20,70,470
874,Eiscue,#0875,Ice,75,80,110,65,90,50,470
875,Indeedee,#0876,"Psychic, Normal",60,65,55,105,95,95,475
876,Morpeko,#0877,"Electric, Dark",58,95,58,70,58,97,436
877,Cufant,#0878,Steel,72,80,49,40,49,40,330
878,Copperajah,#0879,Steel,122,130,69,80,69,30,500
879,Dracozolt,#0880,"Electric, Dragon",90,100,90,80,70,75,505
880,Arctozolt,#0881,"Electric, Ice",90,100,90,90,80,55,505
881,Dracovish,#0882,"Water, Dragon",90,90,100,70,80,75,505
882,Arctovish,#0883,"Water, Ice",90,90,100,80,90,55,505
883,Duraludon,#0884,"Steel, Dragon",70,95,115,120,50,85,535
884,Dreepy,#0885,"Dragon, Ghost",28,60,30,40,30,82,270
885,Drakloak,#0886,"Dragon, Ghost",68,80,50,60,50,102,410
886,Dragapult,#0887,"Dragon, Ghost",88,120,75,100,75,142,600
887,Zacian,#0888,Fairy,92,120,115,80,115,138,660
888,Zamazenta,#0889,Fighting,92,120,115,80,115,138,660
889,Eternatus,#0890,"Poison, Dragon",140,85,95,145,95,130,690
890,Kubfu,#0891,Fighting,60,90,60,53,50,72,385
891,Urshifu,#0892,"Fighting, Dark",100,130,100,63,60,97,550
892,Zarude,#0893,"Dark, Grass",105,120,105,70,95,105,600
893,Regieleki,#0894,Electric,80,100,50,100,50,200,580
894,Regidrago,#0895,Dragon,200,100,50,100,50,80,580
895,Glastrier,#0896,Ice,100,145,130,65,110,30,580
896,Spectrier,#0897,Ghost,100,65,60,145,80,130,580
897,Calyrex,#0898,"Psychic, Grass",100,80,80,80,80,80,500
898,Wyrdeer,#0899,"Normal, Psychic",103,105,72,105,75,65,525
899,Kleavor,#0900,"Bug, Rock",70,135,95,45,70,85,500
900,Ursaluna,#0901,"Ground, Normal",130,140,105,45,80,50,550
901,Basculegion,#0902,"Water, Ghost",120,112,65,80,75,78,530
902,Sneasler,#0903,"Fighting, Poison",80,130,60,40,80,120,510
903,Overqwil,#0904,"Dark, Poison",85,115,95,65,65,85,510
904,Enamorus,#0905,"Fairy, Flying",74,115,70,135,80,106,580
905,Sprigatito,#0906,Grass,40,61,54,45,45,65,310
906,Floragato,#0907,Grass,61,80,63,60,63,83,410
907,Meowscarada,#0908,"Grass, Dark",76,110,70,81,70,123,530
908,Fuecoco,#0909,Fire,67,45,59,63,40,36,310
909,Crocalor,#0910,Fire,81,55,78,90,58,49,411
910,Skeledirge,#0911,"Fire, Ghost",104,75,100,110,75,66,530
911,Quaxly,#0912,Water,55,65,45,50,45,50,310
912,Quaxwell,#0913,Water,70,85,65,65,60,65,410
913,Quaquaval,#0914,"Water, Fighting",85,120,80,85,75,85,530
914,Lechonk,#0915,Normal,54,45,40,35,45,35,254
915,Oinkologne,#0916,Normal,110,100,75,59,80,65,489
916,Tarountula,#0917,Bug,35,41,45,29,40,20,210
917,Spidops,#0918,Bug,60,79,92,52,86,35,404
918,Nymble,#0919,Bug,33,46,40,21,25,45,210
919,Lokix,#0920,"Bug, Dark",71,102,78,52,55,92,450
920,Pawmi,#0921,Electric,45,50,20,40,25,60,240
921,Pawmo,#0922,"Electric, Fighting",60,75,40,50,40,85,350
922,Pawmot,#0923,"Electric, Fighting",70,115,70,70,60,105,490
923,Tandemaus,#0924,Normal,50,50,45,40,45,75,305
924,Maushold,#0925,Normal,74,75,70,65,75,111,470
925,Fidough,#0926,Fairy,37,55,70,30,55,65,312
926,Dachsbun,#0927,Fairy,57,80,115,50,80,95,477
927,Smoliv,#0928,"Grass, Normal",41,35,45,58,51,30,260
928,Dolliv,#0929,"Grass, Normal",52,53,60,78,78,33,354
929,Arboliva,#0930,"Grass, Normal",78,69,90,125,109,39,510
930,Squawkabilly,#0931,"Normal, Flying",82,96,51,45,51,92,417
931,Nacli,#0932,Rock,55,55,75,35,35,25,280
932,Naclstack,#0933,Rock,60,60,100,35,65,35,355
933,Garganacl,#0934,Rock,100,100,130,45,90,35,500
934,Charcadet,#0935,Fire,40,50,40,50,40,35,255
935,Armarouge,#0936,"Fire, Psychic",85,60,100,125,80,75,525
936,Ceruledge,#0937,"Fire, Ghost",75,125,80,60,100,85,525
937,Tadbulb,#0938,Electric,61,31,41,59,35,45,272
938,Bellibolt,#0939,Electric,109,64,91,103,83,45,495
939,Wattrel,#0940,"Electric, Flying",40,40,35,55,40,70,280
940,Kilowattrel,#0941,"Electric, Flying",70,70,60,105,60,125,490
941,Maschiff,#0942,Dark,60,78,60,40,51,51,340
942,Mabosstiff,#0943,Dark,80,120,90,60,70,85,505
943,Shroodle,#0944,"Poison, Normal",40,65,35,40,35,75,290
944,Grafaiai,#0945,"Poison, Normal",63,95,65,80,72,110,485
945,Bramblin,#0946,"Grass, Ghost",40,65,30,45,35,60,275
946,Brambleghast,#0947,"Grass, Ghost",55,115,70,80,70,90,480
947,Toedscool,#0948,"Ground, Grass",40,40,35,50,100,70,335
948,Toedscruel,#0949,"Ground, Grass",80,70,65,80,120,100,515
949,Klawf,#0950,Rock,70,100,115,35,55,75,450
950,Capsakid,#0951,Grass,50,62,40,62,40,50,304
951,Scovillain,#0952,"Grass, Fire",65,108,65,108,65,75,486
952,Rellor,#0953,Bug,41,50,60,31,58,30,270
953,Rabsca,#0954,"Bug, Psychic",75,50,85,115,100,45,470
954,Flittle,#0955,Psychic,30,35,30,55,30,75,255
955,Espathra,#0956,Psychic,95,60,60,101,60,105,481
956,Tinkatink,#0957,"Fairy, Steel",50,45,45,35,64,58,297
957,Tinkatuff,#0958,"Fairy, Steel",65,55,55,45,82,78,380
958,Tinkaton,#0959,"Fairy, Steel",85,75,77,70,105,94,506
959,Wiglett,#0960,Water,10,55,25,35,25,95,245
960,Wugtrio,#0961,Water,35,100,50,50,70,120,425
961,Bombirdier,#0962,"Flying, Dark",70,103,85,60,85,82,485
962,Finizen,#0963,Water,70,45,40,45,40,75,315
963,Palafin,#0964,Water,100,70,72,53,62,100,457
964,Varoom,#0965,"Steel, Poison",45,70,63,30,45,47,300
965,Revavroom,#0966,"Steel, Poison",80,119,90,54,67,90,500
966,Cyclizar,#0967,"Dragon, Normal",70,95,65,85,65,121,501
967,Orthworm,#0968,Steel,70,85,145,60,55,65,480
968,Glimmet,#0969,"Rock, Poison",48,35,42,105,60,60,350
969,Glimmora,#0970,"Rock, Poison",83,55,90,130,81,86,525
970,Greavard,#0971,Ghost,50,61,60,30,55,34,290
971,Houndstone,#0972,Ghost,72,101,100,50,97,68,488
972,Flamigo,#0973,"Flying, Fighting",82,115,74,75,64,90,500
973,Cetoddle,#0974,Ice,108,68,45,30,40,43,334
974,Cetitan,#0975,Ice,170,113,65,45,55,73,521
975,Veluza,#0976,"Water, Psychic",90,102,73,78,65,70,478
976,Dondozo,#0977,Water,150,100,115,65,65,35,530
977,Tatsugiri,#0978,"Dragon, Water",68,50,60,120,95,82,475
978,Annihilape,#0979,"Fighting, Ghost",110,115,80,50,90,90,535
979,Clodsire,#0980,"Poison, Ground",130,75,60,45,100,20,430
980,Farigiraf,#0981,"Normal, Psychic",120,90,70,110,70,60,520
981,Dudunsparce,#0982,Normal,125,100,80,85,75,55,520
982,Kingambit,#0983,"Dark, Steel",100,135,120,60,85,50,550
983,Great Tusk,#0984,"Ground, Fighting",115,131,131,53,53,87,570
984,Scream Tail,#0985,"Fairy, Psychic",115,65,99,65,115,111,570
985,Brute Bonnet,#0986,"Grass, Dark",111,127,99,79,99,55,570
986,Flutter Mane,#0987,"Ghost, Fairy",55,55,55,135,135,135,570
987,Slither Wing,#0988,"Bug, Fighting",85,135,79,85,105,81,570
988,Sandy Shocks,#0989,"Electric, Ground",85,81,97,121,85,101,570
989,Iron Treads,#0990,"Ground, Steel",90,112,120,72,70,106,570
990,Iron Bundle,#0991,"Ice, Water",56,80,114,124,60,136,570
991,Iron Hands,#0992,"Fighting, Electric",154,140,108,50,68,50,570
992,Iron Jugulis,#0993,"Dark, Flying",94,80,86,122,80,108,570
993,Iron Moth,#0994,"Fire, Poison",80,70,60,140,110,110,570
994,Iron Thorns,#0995,"Rock, Electric",100,134,110,70,84,72,570
995,Frigibax,#0996,"Dragon, Ice",65,75,45,35,45,55,320
996,Arctibax,#0997,"Dragon, Ice",90,95,66,45,65,62,423
997,Baxcalibur,#0998,"Dragon, Ice",115,145,92,75,86,87,600
998,Gimmighoul,#0999,Ghost,45,30,70,75,70,10,300
999,Gholdengo,#1000,"Steel, Ghost",87,60,95,133,91,84,550
1000,Wo-Chien,#1001,"Dark, Grass",85,85,100,95,135,70,570
1001,Chien-Pao,#1002,"Dark, Ice",80,120,80,90,65,135,570
1002,Ting-Lu,#1003,"Dark, Ground",155,110,125,55,80,45,570
1003,Chi-Yu,#1004,"Dark, Fire",55,80,80,135,120,100,570
1004,Roaring Moon,#1005,"Dragon, Dark",105,139,71,55,101,119,590
1005,Iron Valiant,#1006,"Fairy, Fighting",74,130,90,120,60,116,590
1006,Koraidon,#1007,"Fighting, Dragon",100,135,115,85,100,135,670
1007,Miraidon,#1008,"Electric, Dragon",100,85,100,135,115,135,670
1008,Walking Wake,#1009,"Water, Dragon",99,83,91,125,83,109,590
1009,Iron Leaves,#1010,"Grass, Psychic",90,130,88,70,108,104,590
1010,Dipplin,#1011,"Grass, Dragon",80,80,110,95,80,40,485
1011,Poltchageist,#1012,"Grass, Ghost",40,45,45,74,54,50,308
1012,Sinistcha,#1013,"Grass, Ghost",71,60,106,121,80,70,508
1013,Okidogi,#1014,"Poison, Fighting",88,128,115,58,86,80,555
1014,Munkidori,#1015,"Poison, Psychic",88,75,66,130,90,106,555
1015,Fezandipiti,#1016,"Poison, Fairy",88,91,82,70,125,99,555
1016,Ogerpon,#1017,Grass,80,120,84,60,96,110,550
1017,Archaludon,#1018,"Steel, Dragon",90,105,130,125,65,85,600
1018,Hydrapple,#1019,"Grass, Dragon",106,80,110,120,80,44,540
1019,Gouging Fire,#1020,"Fire, Dragon",105,115,121,65,93,91,590
1020,Raging Bolt,#1021,"Electric, Dragon",125,73,91,137,89,75,590
1021,Iron Boulder,#1022,"Rock, Psychic",90,120,80,68,108,124,590
1022,Iron Crown,#1023,"Steel, Psychic",90,72,100,122,108,98,590
1023,Terapagos,#1024,Normal,90,65,85,65,85,60,450
1024,Pecharunt,#1025,"Poison, Ghost",88,88,160,88,88,88,600
